plot,treatment,Algal_Total,Algal_Species,Id,morph,growth,growthBin,dead,algalContact,avgContact,max,Month,Year,Species,Percent_cover,tile,recruits,algaeBiomass_mg
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,sponges,3,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,sponges,3,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,sponges,3,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,sponges,3,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,zooanthids,1,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,zooanthids,1,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,zooanthids,1,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,zooanthids,1,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,fireCoral,2,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,fireCoral,2,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,fireCoral,2,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,fireCoral,2,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,bare,2,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,bare,2,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,bare,2,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,bare,2,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,dictyota,25,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,dictyota,25,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,dictyota,25,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,dictyota,25,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,sargassum,0,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,sargassum,0,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,sargassum,0,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,sargassum,0,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,acanthophora,0,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,acanthophora,0,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,acanthophora,0,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,September,2013,acanthophora,0,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,totalUpright,43,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,November,2013,totalUpright,43,2,1,35
